gene,logFC,logCPM,F,PValue,FDR
SNX20,-0.587388924410488,2.87013114094772,11.7279000325641,0.00208650918518725,0.592619982383809
CETP,-1.27481944852049,-1.10728801565262,11.5456843920952,0.00223999728537976,0.592619982383809
TOP2A,-1.86855197429502,-1.55648198818067,11.3722181698652,0.00241155063086584,0.592619982383809
LINC01219,-1.4615922302043,0.934391224845639,11.1955158659142,0.00254147999915997,0.592619982383809
GRHL1,0.843918511419195,0.326118081612494,11.0447234344528,0.0026893625736976,0.592619982383809
MKI67,-1.89086575085916,-1.17921757441362,11.0487947798759,0.00270484810379233,0.592619982383809
SMCR5,-0.915311858299202,-3.00300988830269,10.9755355020191,0.00277325813567136,0.592619982383809
STIMATE-MUSTN1,1.09781755734934,8.39032100550311,10.8602262777727,0.00288159922126486,0.592619982383809
ALOX15B,-1.09736395097456,-1.60938882319973,10.8204474991487,0.00294736509838534,0.592619982383809
TPPP3,1.38429092497626,4.97742624352719,10.8003122087857,0.00294757143303245,0.592619982383809
HRK,-1.02836122349639,-0.636438099867983,10.5152224928142,0.00328915904419362,0.592619982383809
CSRP3,1.17183078581063,9.88188320374534,10.4940717670643,0.0033114725169686,0.592619982383809
TNFRSF10C,-0.982998672245937,-0.559103629561994,10.4311745794683,0.00339589368391823,0.592619982383809
KLHL40,1.52559052434565,8.66101708382331,10.2259649763597,0.00367041699806063,0.592619982383809
CLEC18B,-1.8718313380593,-1.97065742138656,10.2506451602177,0.0036924166366658,0.592619982383809
MYBPH,2.80357941026968,5.37945661462657,10.153548026831,0.00377449191382952,0.592619982383809
RMI2,-1.25655251188776,-0.8186493045349,10.1531191922401,0.00378249430249934,0.592619982383809
MPZL3,-0.738011516024509,-1.69002473516063,10.1577393793546,0.00379169840153662,0.592619982383809
DNAH12,-0.869259558693577,1.589805489875,9.99165486061685,0.00401930068137159,0.592619982383809
NBPF3,-0.903796299654062,1.37881069396894,9.97071945793886,0.00405225402990427,0.592619982383809
GALNT12,-0.583541331535866,0.0584138958322565,9.94121511924693,0.00410026887146485,0.592619982383809
AC008676.1,-1.2055183404748,-2.24035467487889,9.8771245924649,0.00426739597477251,0.592619982383809
MIR503HG,1.59198721054033,0.649026200802066,9.73879469430952,0.00443756093718693,0.592619982383809
BMF,-0.592655640020498,1.33511679105646,9.61127266336458,0.00466449115297723,0.592619982383809
OTOF,0.953136344544649,-0.395731927115341,9.61280593824252,0.0046651249242205,0.592619982383809
PEG10,0.723324672302484,2.37240667375733,9.60105472217695,0.00468304744189393,0.592619982383809
RRAD,0.828268148144691,7.65225398518841,9.56257689620838,0.00475451213509725,0.592619982383809
ST8SIA2,1.93216154923385,0.167764883225302,9.47102862446571,0.00493398945802214,0.592619982383809
TPTEP1,0.839674907241434,3.8780854059627,9.42990832538255,0.00501073002090773,0.592619982383809
CCN4,-0.981569857451461,-0.60842877114913,9.43127226179482,0.00501319408436681,0.592619982383809
FXYD7,-1.07689708704856,0.502022159604548,9.38098094006642,0.00511035491017492,0.592619982383809
YY2,0.748499862773426,-0.0568994118628515,9.33487459839825,0.005205866532978,0.592619982383809
AC090192.2,3.48854039099129,1.41558243940626,9.32559693807802,0.0052278193144151,0.592619982383809
RRP12,0.982752140520703,5.28765649644086,9.23708095576906,0.00541036698772144,0.592619982383809
AEN,0.790208926831658,2.30154835844649,9.22827496290596,0.00542962585741897,0.592619982383809
ANKRD1,2.81233072282021,8.04196296887941,9.20881858208443,0.00547180809431426,0.592619982383809
TNFAIP6,0.867240157133393,-0.724601957400615,9.14649980345725,0.00561656702264775,0.592619982383809
AC006254.1,0.890218443057177,9.00270566573362,8.8886722924865,0.00622358513363917,0.592619982383809
GABBR2,-0.789897891330592,-1.68301692558985,8.88045911841168,0.00627718557586789,0.592619982383809
AC006372.3,-0.59644735945373,-1.24658585606834,8.86068763794802,0.00630782759034778,0.592619982383809
OSGIN1,0.603340096741583,3.66131478946059,8.84527968415886,0.00633388516766396,0.592619982383809
KRT80,2.61627503162385,-0.355282042823593,8.78606561964368,0.00651820219949399,0.592619982383809
UNC5B-AS1,2.22595759814611,-0.792407890801706,8.75907423819683,0.00659508304756483,0.592619982383809
AC091729.3,0.741609262650076,2.01321563111245,8.72115556359674,0.00666165654374012,0.592619982383809
FOSL1,2.88713673530842,-0.0710122433858054,8.72871374423588,0.00666960417298985,0.592619982383809
ASPM,-1.32794659323939,-2.44985824939621,8.73054189876526,0.00671917995838555,0.592619982383809
CTHRC1,-0.641502678177029,0.588954295821567,8.62759722317528,0.00692160551103032,0.592619982383809
GSDMC,-1.03955826637553,3.82498644116721,8.59342595235843,0.00701772949680372,0.592619982383809
IQGAP3,-1.66757040886299,-2.01633323783955,8.61666064687358,0.00703574625148638,0.592619982383809
DTL,-0.934444530295596,-2.17608258756195,8.52326799498522,0.00730391024514655,0.592619982383809
BCO2,0.765260828729597,4.5283446399378,8.47910631550003,0.00735441542466072,0.592619982383809
AL590705.1,-0.674920373754087,-2.91006019185923,8.46560175785377,0.00748624244623502,0.592619982383809
VDR,0.742892801659954,0.00368220297499232,8.40360156430721,0.00758918318634039,0.592619982383809
CHST3,0.69186589313847,4.44949109599982,8.38861202814126,0.00763346507661254,0.592619982383809
PKP1,-0.832281679882629,2.45563783312133,8.37470054142578,0.0076775544449931,0.592619982383809
AK3,0.618827009233122,7.59090799445511,8.3368011667843,0.007798424807651,0.592619982383809
ZC3H12A,0.615078442612495,2.13871693734442,8.33472249690221,0.00780540452836642,0.592619982383809
CDC45,-0.618732217606447,-2.22926560816348,8.35467277067196,0.00782405576086148,0.592619982383809
HSPB1,1.03795732519866,10.1615035986759,8.237819698904,0.00812452095747846,0.592619982383809
CDC37L1,0.706230107970448,5.85097561847908,8.22487063885518,0.00816827420342989,0.592619982383809
FAM124B,-0.869208980040323,0.0266656483048824,8.21141999600004,0.00821688195472815,0.592619982383809
TMEM70,-0.946402200560629,5.89469518048775,8.13848076033799,0.00846685362348124,0.592619982383809
