gene,logFC,logCPM,F,PValue,FDR
DGKI,4.48482550261719,-1.64267369796137,28.989760145163,2.77675693912121e-06,0.000530159845954866
HAND2,3.70633852968522,-0.838532988192149,28.9907949338656,2.94350181317169e-06,0.00053954015994852
CDKN2A,6.08711827123896,-0.403724477602098,29.1331623420094,2.95422998819496e-06,0.00053954015994852
HAS3,-1.15630107880344,1.05547511544029,30.6274666380524,2.96046985614707e-06,0.00053954015994852
MFSD2A,4.69906685676147,-1.21761702013964,28.5126976794056,2.96207445671239e-06,0.00053954015994852
CNTNAP1,0.946910542394408,3.23627141148729,30.3221520200053,3.20792165176724e-06,0.000577681072904039
ABCC3,3.75496589493918,0.682834125211168,29.9314378361572,3.25270068228103e-06,0.00057916345743941
DACT1,1.95986800960955,2.50396777045936,30.2317700292243,3.29752046593613e-06,0.00057941203195697
DYRK3,1.3503520768248,0.841239167765124,30.1652067061074,3.37349483854271e-06,0.00057941203195697
TGFBI,2.20170429022194,6.08114357359534,30.1264776000183,3.38740935330981e-06,0.00057941203195697
AHNAK2,3.37456633750787,3.95132051260634,30.1200291178516,3.40034826604393e-06,0.00057941203195697
ABCA7,1.18589525828838,3.82950610421282,29.9295249461418,3.58024990117119e-06,0.000601681921062835
EFEMP1,3.16973864693323,5.65340129543025,29.8934426216009,3.61670351989669e-06,0.000601681921062835
LACC1,1.36803609791675,1.2111060998395,29.8886004099455,3.64494632561571e-06,0.000601681921062835
ACTN4,1.18763725735771,7.22912713368535,29.7567909029319,3.75775066746585e-06,0.000601763996932392
NR1D2,-1.13936360611676,6.21933497365821,29.716232053799,3.80092362923334e-06,0.000601763996932392
RRBP1,1.56137059804455,5.66219876740075,29.7063980201183,3.8115530639129e-06,0.000601763996932392
PTGS1,1.83970292775542,2.65759135066523,29.7039572240115,3.82085830257954e-06,0.000601763996932392
ADAMTS4,1.63003347605989,1.07821669825834,29.6082434213144,3.9516270017064e-06,0.000601763996932392
PNPLA3,3.96479996069795,-1.16509505030585,27.673325666358,3.95495825780496e-06,0.000601763996932392
CCL2,2.26390792438318,2.47710470541392,29.567194864327,3.97802320913242e-06,0.000601763996932392
COL8A2,4.12018711885116,2.56002103811443,29.5635542629941,3.99424102260494e-06,0.000601763996932392
LZTR1,0.790344514681117,5.05672845360946,29.5076207819167,4.02517723700597e-06,0.000601763996932392
SERPINE1,2.89526512445205,2.73096400796445,29.3854954017289,4.19338313506954e-06,0.000616338143033127
CD163,2.99109828740934,4.27543327310967,29.3651425931573,4.20044926153705e-06,0.000616338143033127
IL1R1,1.11925354539279,4.89489026799308,29.2261065681344,4.36625902060907e-06,0.000619044403300133
HAPLN3,2.23994654910158,2.81643131642768,29.1979469261651,4.41114606786234e-06,0.000619044403300133
SARDH,1.78741346495353,0.196022668490987,29.2014617847847,4.4415100777304e-06,0.000619044403300133
CSRP1,1.96648248384889,6.97109657486724,29.154187897597,4.45630619073453e-06,0.000619044403300133
TUBA1B,1.12104952968571,5.61900730353015,29.1466137031276,4.4659179892958e-06,0.000619044403300133
AC008105.3,2.18238824545518,1.58333630992207,29.1604978220818,4.48140360467438e-06,0.000619044403300133
CNTN3,3.12997064034051,-0.798799772778853,28.1437804401927,4.49233964659022e-06,0.000619044403300133
SYNGAP1,1.56453079689387,2.65593563469986,29.0730888968172,4.56653294424149e-06,0.000619869525411426
PPP1R13L,1.12908095383622,2.93445584408413,29.0396171742331,4.60682373044815e-06,0.000619869525411426
SLC37A2,2.58348380400982,1.91483326438149,29.0530949250072,4.6200372334714e-06,0.000619869525411426
TMEM176B,3.07877657574305,3.81791283332789,29.0063919138284,4.65479103451503e-06,0.000619869525411426
CDCP1,2.17839868642361,-1.01761749938801,28.5312096775793,4.76693685714874e-06,0.000624527101415525
ADGRL3,2.32265701875877,2.43413643893335,28.9296382326666,4.76858580622696e-06,0.000624527101415525
MSR1,2.5029239516321,1.92566167469785,28.8385669826026,4.90957520497107e-06,0.000630866969034738
CNKSR3,1.10943732694773,2.02769906587315,28.8144736954824,4.91891338562593e-06,0.000630866969034738
