gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
IQSEC2,-1.23428571428571,6.89428571428571,-2.71740558047626,0.0160980874800103,0.0739968012736538,-3.1182578974775
FLRT2,-1.23742857142857,6.92328571428571,-2.71655260660635,0.0161255024271975,0.0740697038471709,-3.1197950700988
GADD45B,1.094,7.40471428571429,2.71614153152598,0.0161387307033011,0.0740843375298459,-3.12053583270483
ITFG1,-0.606142857142858,8.9595,-2.71570109587079,0.0161529154596255,0.0740843375298459,-3.1213294676971
MYH10,-1.06028571428571,7.99771428571429,-2.71440508612918,0.0161947250923458,0.0742055542263193,-3.12366457405417
LMNTD1,0.827428571428571,4.03428571428571,2.71240679835051,0.0162593958996771,0.0744327718800159,-3.12726439177728
CDKL5,-0.698285714285715,8.52342857142857,-2.71157674283678,0.0162863325444078,0.074496133770116,-3.12875947128207
WDR78,0.827142857142857,5.68714285714286,2.71041889903579,0.0163239786499189,0.074584643191717,-3.13084473558827
GPLD1,-0.881142857142858,5.46242857142857,-2.70946533504757,0.0163550460749291,0.0746679920899888,-3.1325619005758
RHBDL3,-0.630857142857144,5.902,-2.70937653718475,0.016357942050665,0.0746679920899888,-3.13272179764435
LRP2BP,0.848571428571429,6.90814285714286,2.7089170533664,0.0163729351878171,0.0746943625045725,-3.13354915945926
YJEFN3,-0.606857142857143,7.50928571428571,-2.7054637044136,0.0164860459100639,0.0749645524651492,-3.13976607013292
ARRB1,-0.774000000000002,9.28314285714286,-2.70459536219489,0.0165146063396136,0.0750584907272679,-3.14132894500447
FAT3,-1.37542857142857,6.56057142857143,-2.70135928339599,0.0166214658606891,0.0752919905630357,-3.14715207112127
RNF150,-0.694285714285715,6.75614285714286,-2.69958313611737,0.0166804007018261,0.0754869586787261,-3.15034727262243
EPHX1,0.62042857142857,9.03407142857143,2.69870644513644,0.0167095649280172,0.0755694503955624,-3.15192416936016
PDE4D,-0.632,7.32171428571429,-2.6984698482048,0.0167174440738381,0.0755694503955624,-3.1523497085177
SH3BGRL2,-0.767,8.02864285714286,-2.69781271218237,0.0167393468683435,0.0755694503955624,-3.15353156452597
RIMBP2,-1.367,7.1455,-2.69638757879036,0.0167869429961268,0.0756506712697263,-3.15609436928209
FNTB,0.702999999999999,9.09678571428571,2.69531287877773,0.0168229220484889,0.075752148761273,-3.15802672905492
HSPB1,1.11728571428571,11.2916428571429,2.69257196408557,0.0169150211220511,0.0760055750417991,-3.16295398966719
LRRN3,-1.232,7.13028571428572,-2.6914625375321,0.0169524381187453,0.076137687796672,-3.16494795123696
SYNM,0.65142857142857,8.73814285714286,2.69101862677226,0.0169674320597319,0.0761690156594484,-3.16574571955636
EMB,-0.766285714285715,4.906,-2.6896418614122,0.0170140165920689,0.0762340300038029,-3.16821970691597
NDUFA5,-0.821000000000001,6.37921428571429,-2.68688992207419,0.017107502835319,0.0765445922904829,-3.17316369442959
STK33,0.636571428571428,5.51742857142857,2.68588575860545,0.0171417388594006,0.0766255893766807,-3.17496734573371
GABRG3,-1.70285714285714,6.52542857142857,-2.68227415639938,0.0172654215581217,0.0770334614281812,-3.18145274353416
NDST3,-1.562,5.40357142857143,-2.68161651569527,0.0172880357447436,0.0770619669353914,-3.18263339583833
