gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
CYP20A1,0.915117262889994,8.83478290995505,3.08625451691652,0.00365268436041928,0.233605940258652,-1.85014041244121
GSKIP,-1.07075769983621,9.59944104039037,-3.08606737522871,0.00365453987308459,0.233605940258652,-1.85055092879632
BEX4,-0.724285477739562,11.2226282501754,-3.07998806368682,0.00371530201272513,0.233605940258652,-1.86387893952662
PRRX1,0.685480253438009,11.2888583756413,3.0784139783428,0.00373118938060301,0.233605940258652,-1.86732747323816
C1QB,1.12956211707325,8.66127242257986,3.05891678062572,0.00393335978240094,0.23968670641441,-1.90995931217895
FAM196A,1.12403380147485,7.99845902672315,3.05763094029173,0.00394704929619142,0.23968670641441,-1.91276546343479
MOAP1,-0.755312600809286,12.2889797886121,-3.05725926703242,0.00395101461377291,0.23968670641441,-1.91357645847413
PIP4K2C,-0.624200546698967,10.9022264228956,-3.05234556340299,0.00400379196034726,0.239908196789642,-1.92429291946775
EXOC1,-0.78358746990524,10.3387021029151,-3.04044515184267,0.00413437592362587,0.244205616356326,-1.95020601671502
RAB3B,-0.843365455410511,10.1804409205388,-3.03899852196144,0.00415052035580527,0.244205616356326,-1.95335208659665
ADAMTS17,0.739225748343849,9.50594673950371,3.03383876249007,0.00420858782629081,0.244898590276341,-1.96456629868699
FANCB,1.10816674839695,9.28275560386111,3.03169706261167,0.00423291405637979,0.244898590276341,-1.96921784170596
SPRY2,-0.902753344559993,8.2270349914016,-3.0312928206504,0.00423752040101379,0.244898590276341,-1.97009559953739
PALM,1.25874857250612,9.16194482005768,3.02455876063623,0.00431495199839197,0.246456936656692,-1.98470777795752
STMN2,-0.639892833707571,13.1403502211895,-3.01391761573098,0.00444002673184365,0.249861879947755,-2.00775954953527
HNRNPLL,-0.667880707143147,10.6977931116734,-3.01083471401804,0.00447689454191227,0.249861879947755,-2.01442918901127
GNG3,-0.616867444663179,11.3601353980319,-3.00664262525475,0.00452748859772185,0.25124989280653,-2.02349210544358
DDB1,-1.54839052665587,6.88994120458145,-2.99896909254364,0.00462149435244543,0.252147781464177,-2.0400625176226
EIF1AY,-1.61188568866069,7.59740730947289,-2.99874860349868,0.00462422238971493,0.252147781464177,-2.04053828164904
NSUN6,0.685414868040065,11.7528672999954,2.98915818485998,0.00474435542722847,0.252707861877351,-2.06121236028682
ZNF667-AS1,-0.660826899337117,10.6929133913479,-2.98786708823181,0.00476075013672904,0.252707861877351,-2.06399261498517
CD200,-1.05416973975328,10.4486911846901,-2.9743124251464,0.00493611040001048,0.255926271576032,-2.09313866205427
SEMA5B,-1.77561382291999,6.34436680603869,-2.97408378281353,0.00493911972428642,0.255926271576032,-2.09362963289587
CACNA1B,-0.888496144243408,9.33659978798264,-2.9718800410917,0.00496821309098096,0.255926271576032,-2.09836065439413
PIGU,1.81277999886745,6.00083608917252,2.96938205376028,0.00500138535101554,0.255926271576032,-2.10372086158429
OLFM3,-1.02357553107862,9.12513552094803,-2.96716454610599,0.00503100687443413,0.255926271576032,-2.10847697993381
DOK5,-1.17953080688555,10.1498081659735,-2.96458182518817,0.00506571427683765,0.256356639077064,-2.11401375852684
DCN,0.652032763865312,11.2140660224111,2.95757741478281,0.00516097495548629,0.257179808113442,-2.12901526866799
SV2A,-0.597421390636636,11.2054521167737,-2.94234405818399,0.00537397571390172,0.262994704505255,-2.16156801647406
SLC2A13,-0.837361939965931,13.2547707694682,-2.94154496162003,0.00538537328770871,0.262994704505255,-2.16327286901754
SLC27A1,0.712296444014089,9.16128016036286,2.93471740379161,0.00548368228281605,0.264899308327166,-2.17782799869825
ADNP2,-0.695698351691309,9.80043687054448,-2.9344688986459,0.00548729196345887,0.264899308327166,-2.17835738520542
TTC5,-0.790847243170406,10.6665085078548,-2.92591930441645,0.00561284280746081,0.267624360055351,-2.19655406603578
TRIM36,-0.619038835681962,10.061916285247,-2.92510146350458,0.00562499263849584,0.267624360055351,-2.1982930610113
PXDC1,0.65695244330164,9.97260325400839,2.9209093548808,0.00568765779324999,0.268301573010471,-2.20720225089036
NAP1L5,-0.608712879324587,13.6632718128451,-2.91429850548895,0.00578780753867257,0.268301573010471,-2.22123617070984
REEP1,-0.723435277399729,11.3363637589435,-2.90406004958533,0.0059461727385335,0.271384435220826,-2.24293306318567
SHQ1,-0.739553627235202,10.8407615190965,-2.88793668758657,0.00620379575662954,0.278031831819373,-2.27700699796902
MCTP1,-0.644154277554051,11.2704808857891,-2.88686128205431,0.00622134443832299,0.278031831819373,-2.27927557197449
TTTY15,-1.97311394243257,6.70963843685633,-2.8847454593348,0.00625600624054568,0.278031831819373,-2.28373740672915
SAP25,0.749278181348316,9.46880562314819,2.88195081455034,0.0063020650158994,0.278031831819373,-2.28962767534711
