"",probs,TPR,FPR,TNR,FNR,F1,Accuracy
process_0.19,0.19,0.0107228459694714,0.0475802319623643,0.952419768037636,0.989277154030529,0.016907011437096,0.805662046593925
process_0.2,0.2,0.0109751482275766,0.0502352228795007,0.949764777120499,0.989024851772423,0.0171074623930784,0.803460139585176
process_0.21,0.21,0.0111012993566292,0.0533327122828264,0.946667287717174,0.988898700643371,0.0170790878214459,0.800865034896294
process_0.22,0.22,0.0112274504856818,0.0560109925939727,0.943989007406027,0.988772549514318,0.0170808943479513,0.798623808119532
process_0.23,0.23,0.0114797527437871,0.058712562299129,0.941287437700871,0.988520247256213,0.0172691906252965,0.79638258134277
process_0.24,0.24,0.0114797527437871,0.0618799198844846,0.938120080115515,0.988520247256213,0.0170491803278689,0.793708837117861
process_0.26,0.26,0.0380976409738867,0.301131864548885,0.698868135451116,0.961902359026113,0.028545772484522,0.595891084242603
process_0.27,0.27,0.0413775703292544,0.312823140341888,0.687176859658112,0.958622429670745,0.0302485359893024,0.586532979455421
process_0.28,0.28,0.0452882553298852,0.323699287344543,0.676300712655457,0.954711744670115,0.0323642100518368,0.577961270028507
process_0.29,0.29,0.0495773937176738,0.334831617681308,0.665168382318692,0.950422606282326,0.034630127329603,0.569232281529539
process_0.3,0.3,0.0536142298473571,0.345544738925893,0.654455261074107,0.946385770152643,0.0366553107076631,0.560817851174678
process_0.31,0.31,0.0586602750094613,0.356863384414738,0.643136615585263,0.941339724990539,0.0392156862745098,0.552049542907697
process_0.32,0.32,0.0634540179134603,0.367390190507243,0.632609809492757,0.93654598208654,0.0415616608138814,0.54391035092893
process_0.33,0.33,0.069635423237038,0.378708835996087,0.621291164003913,0.930364576762962,0.044624090541633,0.535318981618009
process_0.34,0.34,0.0740507127538792,0.389119195118543,0.610880804881457,0.925949287246121,0.0465466656093886,0.527219109407255
process_0.35,0.35,0.0806105714646146,0.400391261819367,0.599608738180633,0.919389428535385,0.0496156533892383,0.518726039516367
process_0.36,0.36,0.0856566166267188,0.411104383063953,0.588895616936047,0.914343383373281,0.0517175717876457,0.510468888233559
process_0.37,0.37,0.0915857196921912,0.421701057338488,0.578298942661512,0.908414280307809,0.0542600896860987,0.502447655558832
process_0.38,0.38,0.0982717295319793,0.432274442219013,0.567725557780987,0.901728270468021,0.0571386657864818,0.494564042072152
process_0.39,0.39,0.102560867919768,0.443523219525828,0.556476780474172,0.897439132080232,0.0585228908724446,0.485736754153151
process_0.4,0.4,0.109751482275766,0.454026736224324,0.545973263775677,0.890248517724234,0.0615014845185918,0.477990759854517
process_0.41,0.41,0.11668979437366,0.465042619591038,0.534957380408962,0.88331020562634,0.0641915336571825,0.469772928339723
process_0.42,0.42,0.124258862116816,0.475266663561414,0.524733336438586,0.875741137883184,0.0671919233261708,0.462321832301189
process_0.43,0.43,0.130818720827551,0.48567702268387,0.51432297731613,0.869181279172449,0.0695553021664766,0.454556178118549
process_0.44,0.44,0.137000126151129,0.496623037868555,0.503376962131445,0.862999873848871,0.0715957411741438,0.446279366951735
process_0.45,0.45,0.143686135990917,0.506893660626951,0.49310633937305,0.856313864009083,0.0738866725049463,0.438651331957141
process_0.46,0.46,0.150750599217863,0.517560203083516,0.482439796916484,0.849249400782137,0.0762482054554155,0.430748058586454
process_0.47,0.47,0.157184306799546,0.527923983417951,0.472076016582049,0.842815693200454,0.0782638736220596,0.423002064287821
process_0.48,0.48,0.165762583575123,0.538823419814617,0.461176580185384,0.834237416424877,0.0811687308892115,0.415138110685147
process_0.49,0.49,0.174971615995963,0.548628254692813,0.451371745307187,0.825028384004037,0.084390496182045,0.408296471050821
process_0.5,0.5,0.182666834868172,0.55796730169081,0.44203269830919,0.817333165131828,0.0868808688086881,0.401612110488548
