"",all_results,benchmark
lu_adc_GSE123902_GSM3516668_121319764216542,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121337990528299,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121338036448107,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121339884747636,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121339915655989,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121812449880299,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121812450752822,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121812464855326,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_121812477688557,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121826186771316,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_121879156145379,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121879171034542,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121879184136949,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_121896094882078,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_121955438709686,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_122282764253429,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_122282776148699,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_122282776157412,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_122308412205347,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_122310398242147,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_122310398462302,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_122310413174556,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_122428792420140,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_122514677086053,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_122514677648627,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_122514691972517,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125042427128052,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125197033073437,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125197046180134,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125239714504091,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125239727156126,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125247364912988,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125247365437749,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_125677935376822,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125677948516142,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125719945633076,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125728252386203,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125745313302949,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125745325885283,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_125745344235955,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126132140829598,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126132159403813,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_126149039635179,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126149040163060,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126218818411253,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126218845481892,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126218845937061,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126293980334939,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126294007433965,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126364041464243,TRUE,FALSE
