"",probs,TPR,FPR,TNR,FNR,F1,Accuracy
process_0.28,0.28,0.0960458323972141,0.0765567244810918,0.923443275518908,0.903954167602786,0.166091981933855,0.46125125502008
process_0.29,0.29,0.103122893731746,0.0818168893943702,0.91818311060563,0.896877106268254,0.176614881439084,0.462882781124498
process_0.3,0.3,0.110761626600764,0.0875035541654819,0.912496445834518,0.889238373399236,0.187746941495692,0.464639809236948
process_0.31,0.31,0.117838687935295,0.0937588854137049,0.906241114586295,0.882161312064705,0.197728665001649,0.465832078313253
process_0.32,0.32,0.126151426645698,0.100298549900483,0.899701450099517,0.873848573354302,0.209309911001351,0.467589106425703
process_0.33,0.33,0.135138171197484,0.10698038100654,0.89301961899346,0.864861828802516,0.221597973750863,0.469659889558233
process_0.34,0.34,0.142327566838913,0.113662212112596,0.886337787887404,0.857672433161087,0.231025208551762,0.470726656626506
process_0.35,0.35,0.150303302628623,0.120059709980097,0.879940290019903,0.849696697371377,0.241418196580811,0.472358182730924
process_0.36,0.36,0.15884070995282,0.126670457776514,0.873329542223486,0.84115929004718,0.252342286071206,0.474209337349398
process_0.37,0.37,0.166928780049427,0.133210122263293,0.866789877736708,0.833071219950573,0.26242825607064,0.475840863453815
process_0.38,0.38,0.176027858908111,0.140816036394655,0.859183963605345,0.82397214109189,0.273484881539334,0.477566516064257
process_0.39,0.39,0.184958436306448,0.147782200739266,0.852217799260734,0.815041563693552,0.284173282706248,0.479480421686747
process_0.4,0.4,0.193439676477196,0.156027864657378,0.843972135342622,0.806560323522804,0.293819050462825,0.480578564257028
process_0.41,0.41,0.202314086722085,0.163065112311629,0.836934887688371,0.797685913277915,0.303966244725738,0.482429718875502
process_0.42,0.42,0.211413165580768,0.170528859823713,0.829471140176287,0.788586834419232,0.314098552175909,0.48421812248996
process_0.43,0.43,0.22101774882049,0.178703440432187,0.821296559567814,0.77898225117951,0.324495938646765,0.48597515060241
process_0.44,0.44,0.230453830599865,0.187588854137049,0.812411145862951,0.769546169400135,0.334311089383199,0.487324297188755
process_0.45,0.45,0.239721410918895,0.195408018197327,0.804591981802673,0.760278589081105,0.34390234075984,0.489049949799197
process_0.46,0.46,0.250561671534487,0.204506681831106,0.795493318168894,0.749438328465513,0.354864370376263,0.491089357429719
process_0.47,0.47,0.260053920467311,0.212681262439579,0.787318737560421,0.739946079532689,0.364194131990875,0.492783634538153
process_0.48,0.48,0.270781846776005,0.222135342621552,0.777864657378448,0.729218153223995,0.374446601941748,0.494603413654619
process_0.49,0.49,0.281959110312289,0.23258458913847,0.76741541086153,0.718040889687711,0.384733292458614,0.496234939759036
process_0.5,0.5,0.291732195012357,0.242607335797555,0.757392664202445,0.708267804987643,0.393320964749536,0.497270331325301
