gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
CRISPLD2,-0.699823097389439,9.52284418393239,-3.23065349498729,0.00134958569532734,0.0353202382425759,-1.21600012231249
CALB2,-0.75423880822896,10.0330716468113,-3.22654471193105,0.00136855071817521,0.0354177268267169,-1.22831280009175
CCL7,0.714790438259161,6.51160217615211,3.21976156216912,0.00140040083531405,0.0357883200366343,-1.24860742044087
CXCL2,-0.580217843295374,10.0637343987437,-3.21622111265786,0.00141729623605476,0.0360371603128147,-1.2591841878869
VWCE,-0.895306701097144,10.6123268987577,-3.20573242502097,0.0014684633795091,0.0368072908884773,-1.29045388655771
ITGA10,-0.853461604622536,9.44592288822817,-3.20364517926048,0.00147884740069191,0.0369480958864278,-1.29666507524185
ALDH1A3,-0.690364789520439,10.7174604658113,-3.175746544773,0.00162432422335355,0.0391590196584403,-1.37931943673713
RBMS3,-0.6403573711461,9.03707841755493,-3.15434735725092,0.00174475253769255,0.0403865029641184,-1.44225625488057
ERP27,-0.687437931034145,11.0952441018282,-3.15306363374914,0.00175223273866139,0.0403893450905916,-1.44601903419602
RPS6KL1,0.654454807867221,7.87007078872958,3.1466920766907,0.00178979963848121,0.0405408807001006,-1.46467360440204
SFTA1P,-0.676895135446475,7.48057964292676,-3.14258291752418,0.00181442021995488,0.040938957195875,-1.47668546618646
CHL1,-0.721052364552035,10.2021622820141,-3.13857257185993,0.00183874976942404,0.0410101196174804,-1.48839419375201
RBPMS,-0.581545679670145,7.54849782224225,-3.13197830590114,0.0018794104741793,0.0415185355702727,-1.50761633089251
PDE4D,-0.629733295854718,10.210417977262,-3.12219457321437,0.00194126764209724,0.0425613773606981,-1.53606535828465
TGM1,-0.709355162277869,9.42888669343944,-3.11781923514548,0.00196953337661457,0.0429141102132841,-1.54876071445085
CCDC150,0.623399464465038,8.48757953746197,3.11436448467225,0.00199211941091927,0.0431873648411977,-1.55877303805494
NTNG1,-0.604936778059489,6.87200370775775,-3.10199211544311,0.00207497853535563,0.0440790687035327,-1.59454375698002
MAL,0.733966526694672,12.3518743473408,3.09273865953514,0.00213901239066305,0.044784367530639,-1.62120917328933
APOE,0.621709947750264,12.1732988414394,3.08559137313491,0.00218971157945694,0.0452661812501759,-1.64175374493425
MMP9,0.887836453018612,11.0969197322986,3.08456464175945,0.00219708487307222,0.0452661812501759,-1.64470134831328
ZNF202,0.59156147938439,8.78527779848169,3.08024529139264,0.00222835449665812,0.0456449830675662,-1.65709144237498
DVL1,0.647932042101039,8.86873377259437,3.07618265363821,0.00225813890397574,0.0458733812311155,-1.66873016605919
GFRA1,-0.61194627957507,7.43825071237747,-3.05921074909958,0.00238656825877324,0.047813660632664,-1.71719440937236
SFRP2,-0.669155536349716,6.78008899308732,-3.05106313683529,0.0024505785454864,0.0484401087328443,-1.74037021346007
HM13,0.697531468439935,8.9883243087324,3.0420071260026,0.00252357431116902,0.0494666029586829,-1.76606126795932
APOBEC3B,0.811646444236848,8.61226505712394,3.04117739776459,0.00253036122480354,0.0494666029586829,-1.76841151215268
TM4SF4,-1.03250347460945,8.66048815650423,-3.03570042157539,0.002575583379432,0.0498804647816664,-1.78391006815797
CDH2,-0.636078174694094,8.85532257756056,-3.03048286179305,0.00261935267060132,0.0504236025567836,-1.79864991873108
ABCF3,0.585166972764788,9.96653573172958,3.029154190073,0.00263060724758629,0.0504236025567836,-1.80239964035864
CRIPAK,-0.61589435255742,10.4385258537859,-3.02716618097493,0.00264752969078179,0.0504448884067292,-1.80800720623299
