screen_method,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,dataset,tumor
SCIPAC,G2M_CHECKPOINT,0.310865191146881,0.52525497814473,0.0683110858318647,-0.310166276136775,-1.09009707996697,173,"TGFB1, UBE2C, CDKN3, NUSAP1, BIRC5, TOP2A, PTTG1, MCM5, MEIS2, CHEK1, ORC6, CENPA, NEK2, AURKB, CENPE, PLK1, CDK1, NDC80, KNL1, CCNA2, CCNB2, POLA2, DMD, HMMR, ODC1, KIF2C, BRCA2, CDC25B, LMNB1, CDC20, PRC1, MYBL2, KIF20B, FBXO5, HIRA, TTK, E2F4, CDC6, STMN1, EFNA5, FOXN3, TACC3, KPNA2, RACGAP1, UBE2S, SMC2, CDC45, CKS1B, SLC7A1, MAD2L1, RPA2",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,APOPTOSIS,0.000172884099312891,0.00056475472442211,0.518848077743792,-0.472571943451879,-1.63640616227244,131,"LUM, DCN, MMP2, BGN, CD69, CAV1, IL1B, IGFBP6, CD14, CCND2, BTG3, PDGFRB, HMOX1, CD2, CD38, CASP1, TOP2A, PLAT, HMGB2, PRF1, ANXA1, FAS, BIRC3, TNF, GNA15, ISG20, TIMP3, CASP4, SOD2, GPX3, F2R, AIFM3, BCL2L2, TGFB2, GCH1, ENO2, GADD45A, GSN, CDC25B, PLCB2, NEDD9",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,TNFA_SIGNALING_VIA_NFKB,3.50119688319435e-08,1.71558647276523e-07,0.719512826338911,-0.530662738608864,-1.86085189145903,168,"CCL4, CCL5, CCL2, G0S2, GPR183, CD69, SLC2A3, PLEK, IL1B, OLR1, MAP2K3, BCL2A1, IL7R, BTG3, INHBA, CD83, DUSP2, CXCL10, CXCL2, PLAU, CCL20, CXCL11, PLAUR, PDE4B, GEM, KYNU, TNFAIP2, TNC, CXCL1, SERPINE1, TNFAIP6, F3, TNFAIP8, SPHK1, STAT5A, NFKBIE, PHLDA1, TNFAIP3, NR4A3, TNFRSF9, CXCL3, CSF1, PTGS2, TRAF1, AREG, BIRC3, TNF, TLR2, CCRL2, PTPRE, ICAM1, SOD2, IL15RA, SGK1",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,PANCREAS_BETA_CELLS,0.0442359249329759,0.0985254691689008,0.248911114434702,-0.56962966195397,-1.49872746541131,18,"LMO2, FOXO1, AKT3, STXBP1, SYT13, SPCS1, VDR, MAFB, ELP4, PAK3, SEC11A, SCGN, DCX",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,IL6_JAK_STAT3_SIGNALING,2.62081349347494e-10,1.6052482647534e-09,0.814035837847908,-0.698477190756444,-2.22813402905651,61,"CXCL13, PLA2G2A, A2M, IL1B, IL2RG, CD14, TGFB1, TNFRSF1B, LTB, CXCL10, HMOX1, CD36, CXCL11, CXCL9, CD38, CCR1, CXCL1, IL17RA, CBL, CXCL3, PIM1, CSF1, FAS, TNF, TLR2, ITGA4, CSF2RB, IL4R, IL15RA, PDGFC, CSF3R, CSF2RA, TNFRSF1A",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,KRAS_SIGNALING_UP,3.62630104116089e-21,5.92295836722945e-20,1.18665095279281,-0.692807484407049,-2.4112251250306,142,"SPP1, FCER1G, GPNMB, G0S2, CD37, MMP11, LY96, LAPTM5, IL1B, IL2RG, IL7R, PECAM1, CCND2, INHBA, MMP9, APOD, TNFRSF1B, GNG11, CXCL10, PRDM1, LCP1, PRRX1, PLAU, CCL20, IGFBP3, SPARCL1, PLAUR, NRP1, PLVAP, IKZF1, GYPC, IL10RA, EPB41L3, DOCK2, ITGB2, ITGBL1, LAT2, ANGPTL4, GUCY1A1, HDAC9, ENG, PLAT, C3AR1, ETV1, AKAP12, PCSK1N, CA2, ADGRL4, ETV5, VWA5A, CBL, TNFAIP3, CXCR4, PTGS2, TRAF1, DCBLD2, ADAMDEC1, BIRC3, MALL, CTSS, IRF8, CLEC4A, SPON1, F13A1, ADAM8, PLEK2, ALDH1A3, CFH, TRIB2, ETS1, SPRY2, ID2, IL33, SEMA3B, CSF2RA, GLRX, GPRC5B",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,IL2_STAT5_SIGNALING,2.5238502238295e-06,1.03057217473038e-05,0.627256739718528,-0.5095402024902,-1.77724265522812,151,"SPP1, HOPX, PLIN2, SLC2A3, TNFRSF4, CCND2, CD83, TNFRSF1B, CST7, LTB, CXCL10, CD48, GPR65, CTLA4, NRP1, IL10RA, CD86, CD79B, ICOS, IL2RB, SLC39A8, SMPDL3A, FGL2, LRRC8C, PHLDA1, CA2, TNFRSF9, PIM1, CSF1, TRAF1, ECM1, IRF8, SELL, ADAM19, IRF4, TNFRSF18, SYT11, GLIPR2, PNP, IL4R, ARL4A, GSTO1, PRNP, SLC29A2, GBP4, GUCY1B1, CCND3, GALM, ODC1, RGS16, PLPP1, PLAGL1, COL6A1, FURIN",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,NOTCH_SIGNALING,0.520253164556962,0.728354430379747,0.0546808488785442,-0.347158970025418,-0.966314280755979,25,"ST3GAL6, FZD1, WNT5A, PPARD, KAT2A",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,WNT_BETA_CATENIN_SIGNALING,0.366384522370012,0.573253027245207,0.0692836467392548,-0.368606286889869,-1.07371768358143,32,"CCND2, DKK1, FZD1, PPARD, HEY1, NOTCH4, KAT2A, DVL2, NKD1, HEY2, HDAC5",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,HEDGEHOG_SIGNALING,0.30609597924773,0.52525497814473,0.0822054920415869,-0.423012276479818,-1.15294544530748,22,"THY1, NRP2, NRP1, DPYSL2, HEY1, RTN1",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,PI3K_AKT_MTOR_SIGNALING,0.853347502656748,0.972419247213504,0.0226556224333514,-0.234883857758978,-0.773159216178001,83,"IL2RG, MAP2K3, SLA, LCK, CXCR4, PRKCB, CDK1, TNFRSF1A, IRAK4, DAPP1, PIN1, GRB2, TRIB3, TIAM1, PFN1, MYD88",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,REACTIVE_OXYGEN_SPECIES_PATHWAY,0.148617511520737,0.280086848635236,0.118815039412263,-0.420103089206358,-1.28078530617144,44,"LSP1, FTL, IPCEF1, MSRA, SOD2, PRNP, HHEX, GPX3, GLRX, CDKN2D, PDLIM1, NDUFA6, PRDX4, G6PD",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,ADIPOGENESIS,0.0727272727272727,0.154940711462451,0.16440575583821,-0.362100884937606,-1.26814091885466,163,"APOE, FABP4, PLIN2, COL4A1, CAVIN1, CD36, COL15A1, SPARCL1, LAMA4, SSPN, ANGPTL4, C3, STAT5A, GBE1, CPT2, DHRS7B, RMDN3, CRAT, STOM, ARL4A, LPL, ALDH2, ELOVL6, SNCG, GPX3, ATP5PO",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,ANGIOGENESIS,5.7139571926904e-07,2.54530820401663e-06,0.659444398037935,-0.771039262856122,-2.17546470434535,26,"COL3A1, LUM, S100A4, SPP1, POSTN, VCAN, COL5A2, FSTL1, OLR1, CCND2, NRP1, PDGFA, THBD, STC1, SLCO2A1, LPL",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,SPERMATOGENESIS,0.840354767184035,0.972419247213504,0.0258331720982323,-0.23443648028344,-0.738213372256593,55,"CDKN3, PCSK1N, NF2, NEK2, ARL4A, CDK1, CHFR, CCNB2, KIF2C, TTK, PHF7, IP6K1, CLGN, TLE4",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,ALLOGRAFT_REJECTION,2.12905735345676e-30,5.21619051596906e-29,1.43181244608859,-0.748503021879958,-2.60722447829722,146,"CCL4, CXCL13, CCL5, SRGN, FYB1, CCL2, GZMB, GZMA, HLA-DQA1, THY1, CD7, CD3D, CD79A, IL1B, IL2RG, CCND2, LCP2, TGFB1, INHBA, IFNG, MMP9, SPI1, LTB, CARTPT, CD3G, GPR65, CD2, LYN, CD247, CD4, LCK, CD3E, HLA-DRA, CD86, PTPRC, CXCL9, LY86, CD8A, NCF4, CXCR3, HCLS1, IL2RB, CD40, ITK, ITGB2, ST8SIA4, HLA-DMB, CCR1, BCAT1, HDAC9, HLA-DMA, WAS, CRTAM, IL16, FCGR2B, CD74, IL27RA, STAB1, FLNA, IGSF6, SIT1, PRF1, CD96, CSF1, FAS, TRAT1, NLRP3, STAT4, PRKCB, CTSS, TNF, IRF8, HLA-DOA, KLRD1, IRF4, GCNT1, FGR, TLR2, PTPN6, IL4R, HLA-DOB, ICAM1, B2M",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,UNFOLDED_PROTEIN_RESPONSE,0.484114755633746,0.718837061395562,0.203508959461977,0.209727183480834,1.11470370870685,93,"STC2, CNOT2, ATF3, HSPA5, EXOC2, IMP3, NFYA, CEBPB, SDAD1, SHC1, ATF6, VEGFA, CNOT6, CALR, XBP1, EIF4G1, WIPI1, TATDN2, DCTN1, ALDH18A1",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,INTERFERON_GAMMA_RESPONSE,1.93554624395557e-14,1.89683531907646e-13,0.97599468306432,-0.607928041526199,-2.1360213434577,175,"CCL5, CCL2, CD69, GZMA, HLA-DQA1, LCP2, IFI30, HLA-DRB1, CXCL10, UPP1, CXCL11, PDE4B, IL10RA, C1S, SSPN, CD86, CXCL9, CD38, TNFAIP2, BANK1, CASP1, IL2RB, CD40, ST8SIA4, FCGR1A, HLA-DMA, VAMP5, TNFAIP6, ST3GAL5, CD74, SAMHD1, SLAMF7, FGL2, VCAM1, TNFAIP3, PIM1, PTGS2, FAS, STAT4, IRF8, IDO1, LATS2, IRF4, ISG20, CIITA, PELI1, SERPING1, ITGB7, C1R, EPSTI1, CASP4, CSF2RB, FPR1, PTPN6, CMPK2, PNP, IL4R, ARL4A, CFH, ICAM1, SOD2, IL15RA, B2M, IFIT3, PSMB9, GBP4, LYSMD2, GCH1, EIF4E3, ARID5B, CD274, JAK2, PSMB10, IFITM2, NUP93",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
SCIPAC,TGF_BETA_SIGNALING,0.126582278481013,0.248101265822785,0.130105630751129,-0.421669748615393,-1.28813928218028,46,"ID3, ID1, TGFB1, ENG, LTBP2, SERPINE1",binary_her2_TCGA_BRCA_merged_seurat,brca_her2
