prob,Log2FC_cutoff,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.11,0.009,0.0532017093450823,0.0203572742509095,0.97964272574909,0.946798290654918,0.763307984790874,0.0532017093450823,0.0994704406800657,0.467904849039341
0.19,0.019,0.118130320999106,0.041736500020439,0.958263499979561,0.881869679000895,0.777414432090691,0.118130320999106,0.205095761200897,0.49419945105215
0.07,0.145,0.0324974326696923,0.0128765891346115,0.987123410865389,0.967502567330308,0.756944444444445,0.0324974326696923,0.0623193469491472,0.459817017383349
0.11,0.305,0.0567131546692285,0.0242406900216654,0.975759309978335,0.943286845330772,0.742733188720174,0.0567131546692285,0.105379785793426,0.468106129917658
0.02,0.826,0.00155696160598933,0.000163512242979193,0.999836487757021,0.998443038394011,0.92156862745098,0.00155696160598933,0.00310867120841326,0.448417200365965
0.08,0.502,0.0289197336601848,0.00592731880799575,0.994072681192004,0.971080266339815,0.857563850687623,0.0289197336601848,0.0559525717032527,0.460951509606587
0.13,0.804,0.0379633617119952,0.0069901483873605,0.99300985161264,0.962036638288005,0.870159453302961,0.0379633617119952,0.0727526663280853,0.465471180237877
0.12,0.061,0.0620134494981283,0.0234231288067694,0.976576871193231,0.937986550501872,0.765644171779141,0.0620134494981283,0.114734003432214,0.471399817017383
0.19,0.928,0.0679762811806407,0.0071945386910845,0.992805461308916,0.932023718819359,0.921005385996409,0.0679762811806407,0.126608051827857,0.48195791399817
0.41,0.808,0.318580846059562,0.0675305563504067,0.932469443649593,0.681419153940438,0.853403141361257,0.318580846059562,0.463961790814357,0.593376029277219
0.15,0.079,0.0859972835989002,0.0316396190164739,0.968360380983526,0.9140027164011,0.770326409495549,0.0859972835989002,0.154721816610543,0.480969807868253
0.15,0.601,0.0667505880014576,0.0123860524056739,0.987613947594326,0.933249411998542,0.869283865401208,0.0667505880014576,0.123980926011383,0.478956999085087
0.31,0.715,0.201411203498195,0.0457016719126845,0.954298328087316,0.798588796501805,0.844679077521534,0.201411203498195,0.325264143373011,0.538426349496798
0.33,0.514,0.250107662238712,0.0599681151126191,0.940031884887381,0.749892337761288,0.837307308417434,0.250107662238712,0.385164779104173,0.558938700823422
0.4,0.72,0.311624209096631,0.0778318276580959,0.922168172341904,0.688375790903369,0.831668287507736,0.311624209096631,0.453371246807075,0.584922232387923
0.31,0.75,0.192334448603704,0.0483178678003516,0.951682132199648,0.807665551396296,0.83085289066972,0.192334448603704,0.31236045729657,0.53224153705398
0.24,0.096,0.16984132242356,0.0627478232432653,0.937252176756735,0.83015867757644,0.769588712098469,0.16984132242356,0.278270780753888,0.513357731015554
0.35,0.398,0.26965249942028,0.102072517679761,0.897927482320239,0.73034750057972,0.765253360910031,0.26965249942028,0.398785028414658,0.550887465690759
0.39,0.294,0.317288899195018,0.153701508400441,0.846298491599559,0.682711100804982,0.718098665467087,0.317288899195018,0.440114876507754,0.554089661482159
