"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
104,NUSAP1,3.75415301893552,8.17279326915702,11.0380150100328,4.79065545670088e-20,5.23931876581883e-18,35.0333176156527
105,KRT18,4.92378059882749,10.2771666303636,11.0079368090251,5.66198873894578e-20,6.13328189683518e-18,34.8683692744742
106,ACADS,-1.56119423348134,4.97273108963636,-10.9726493867365,6.88835726357554e-20,7.39133731282153e-18,34.6748470185339
107,PID1,-3.27622883600735,4.94121156919835,-10.9592904042551,7.41909635148949e-20,7.88643008428425e-18,34.6015825987028
108,MARCKSL1,3.0007608618733,9.12043384420661,10.9516964249086,7.73883397672333e-20,8.1344916506201e-18,34.5599347862865
109,MARVELD2,3.30691134691346,8.35938018359504,10.9503288253967,7.79786306412544e-20,8.1344916506201e-18,34.552434412606
110,EHHADH,-2.41518142745588,4.70068423571901,-10.9487398475479,7.86701320176025e-20,8.1344916506201e-18,34.5437199185606
111,RILP,-1.40650092611991,6.81558054124793,-10.9446408005313,8.04824309125351e-20,8.24691143422679e-18,34.5212393173158
112,ADRB2,-2.89840630347964,3.50123622921488,-10.9100829363859,9.7519638895238e-20,9.90346761423605e-18,34.3317103349356
113,MTURN,-3.82829482215894,4.53244131671901,-10.8865927040826,1.11116064723614e-19,1.11843727448353e-17,34.2028796274581
114,C19orf12,-2.1273121528569,8.64709768413223,-10.8736311461759,1.19413892105105e-19,1.18783095676411e-17,34.1317926955991
115,ITGA1,-1.43926940170192,2.70270494684298,-10.8726016153015,1.20098962570664e-19,1.18783095676411e-17,34.126146293544
116,LPL,-6.45943615844062,6.14796972234711,-10.7879251842666,1.9225388006992e-19,1.88508244130627e-17,33.6617499828737
117,PALMD,-4.64609345199435,6.06293940598347,-10.7861126888732,1.9419983793556e-19,1.88788799716158e-17,33.6518098531704
118,GBE1,-2.41948011412048,9.23127693582645,-10.7814013292701,1.99350748160001e-19,1.92153848268801e-17,33.6259717767929
119,ME1,-3.64738958090724,4.89002178652893,-10.7737188402848,2.08044606003549e-19,1.98848684763392e-17,33.5838396437748
120,RCC2,1.97921490627376,9.05137515228099,10.7704063133823,2.11909234241586e-19,2.00854635855316e-17,33.5656732529507
121,RRM2,4.46826840318609,8.35827683128099,10.7282472005276,2.67843940262001e-19,2.51773303846281e-17,33.3344722110834
122,FZD4,-3.05323737545532,7.05195454328926,-10.7086690238749,2.98623189245718e-19,2.78404930695147e-17,33.2271095829773
123,HOOK1,2.96044310573643,7.18314901832231,10.7061004009959,3.02915490102175e-19,2.80110632879849e-17,33.2130240250505
124,DGAT2,-4.97738501257014,5.71420842963636,-10.6821157567556,3.46094116030335e-19,3.17457619010405e-17,33.0815022775614
125,ADAMTS2,-1.8066186367517,3.85479607793388,-10.638988596045,4.39795731370718e-19,4.00178931888844e-17,32.8450256288785
126,OGN,-3.59825554362613,3.4308799704876,-10.6074705330536,5.23953275909183e-19,4.72971790491353e-17,32.6722183228984
127,TOP2A,4.55336596833541,7.62158575540496,10.5996651046944,5.47171502365927e-19,4.90041627394493e-17,32.6294247243153
128,WDR90,2.77006054149095,7.41834196841322,10.5966033871772,5.56557325187066e-19,4.94553360677944e-17,32.6126389567195
129,STX7,-1.16921779342251,3.40152509054545,-10.5728003483716,6.35233423245056e-19,5.59845647949676e-17,32.4821441950616
130,SUCLG1,-1.39859803849547,10.9065540583471,-10.5714883227723,6.39879850830472e-19,5.59845647949676e-17,32.4749515588883
131,PSD4,1.87130415934163,6.23328640185124,10.5646036083853,6.64824119463994e-19,5.77229735479654e-17,32.4372094055881
132,AP1G2,2.21614864744061,7.41722308370248,10.5617596792765,6.75409609596921e-19,5.81977946936013e-17,32.4216191419389
133,BANK1,-1.85873731608937,2.72971205373554,-10.5581731926128,6.8899952480918e-19,5.89224104900723e-17,32.4019584021985
134,LIMK2,2.46590132732975,8.03956317986777,10.549592061139,7.2263481991726e-19,6.13376749383501e-17,32.3549183945012
135,LSR,2.97633885241459,7.2524613265124,10.52528901321,8.2706903703389e-19,6.96820979794331e-17,32.2217007797404
136,SAA1,-5.36809249890215,7.03280368940496,-10.5163116363247,8.69352010687588e-19,7.27059541879458e-17,32.1724937413027
137,DTL,2.91469621945079,6.15371609087603,10.5072665232011,9.14139310997019e-19,7.58935804618985e-17,32.1229169158084
138,TRAF4,2.58394783938462,7.49855947642149,10.4995540125987,9.541451057531e-19,7.86409161799693e-17,32.0806453781471
139,CEBPA,-3.19573246693383,6.83589587922314,-10.4902257976582,1.00487688947788e-18,8.22264010138227e-17,32.0295198440734
140,CDC42EP2,-1.37460766697907,5.34656120644628,-10.462857332686,1.16981772761935e-18,9.50393345281603e-17,31.8795303942763
141,SLC25A51,-1.40367899764706,3.66642814684298,-10.4466578272946,1.27992409230978e-18,1.03247210112989e-16,31.7907584082054
142,ASPH,-1.03813564310803,2.50864862704959,-10.4295272141923,1.40764533412091e-18,1.11585253710164e-16,31.6968903018552
143,CAV1,-4.54010439862387,6.71734592256198,-10.4289230724228,1.41237504569613e-18,1.11585253710164e-16,31.6935799958559
144,CFLAR,-1.17048289643665,3.4761672465124,-10.4288790977597,1.41271993443499e-18,1.11585253710164e-16,31.6933390434809
145,PROM2,4.12231042542478,9.57910920240496,10.3968876272035,1.68730513819897e-18,1.32354542357759e-16,31.5180587554521
146,CHTF18,2.45681180493043,6.00498667657025,10.3586461972222,2.08635492195578e-18,1.62535622481678e-16,31.3085683618377
