"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
52,MYZAP,-3.0604112953033,0.888134619524861,-30.3167031753432,1.71624900042951e-150,4.2044800031676e-148,333.221704122708
53,PALMD,-2.9309391337239,4.77666440673759,-30.230207557491,7.60422381278608e-150,1.82773975756758e-147,331.76580498152
54,TSHZ2,-2.99281689166438,3.84143340402114,-30.1850719064658,1.65311600731726e-149,3.89982311429899e-147,330.995267645199
55,AKR1C2,-4.53844228583351,2.18203702118443,-30.1447688875071,3.30662383904461e-149,7.6587420155617e-147,330.314306954045
56,SIK2,-2.18548197258495,5.73179094977575,-30.1356220469616,3.86997411189193e-149,8.80350003774845e-147,330.139530788205
57,PPP1R1A,-4.6320262508704,2.45043670198484,-30.1289728525215,4.33883471668457e-149,9.69691499225346e-147,330.041380151187
58,TSPAN7,-2.84680807033339,2.79209019084479,-30.0727914882447,1.1401176711427e-148,2.50413086425636e-146,329.080339636076
59,TACR1,-3.72317830720417,0.925050526618191,-30.0104117117814,3.33187647434135e-148,7.19402956044651e-146,327.996642905473
60,ZBTB16,-4.51970585342687,2.73552139759672,-29.9103585380986,1.85958795849937e-147,3.94821516722059e-145,326.288840499634
61,MICU3,-2.5703714691224,0.836581266331486,-29.7815451001941,1.69924360204216e-146,3.54863348301886e-144,324.006588247611
62,MME,-4.14928420348103,4.38005389757886,-29.6888407096526,8.34388772995439e-146,1.71439977083692e-143,322.484807946224
63,G0S2,-4.14515547761385,3.03989915046973,-29.6276094210956,2.3859905532685e-145,4.8246243901726e-143,321.441296655238
64,LPL,-4.67173060988916,4.93004851267318,-29.5900246697767,4.54654122702554e-145,9.04974823298099e-143,320.797232262576
65,ANGPT1,-2.8663276218819,1.91520842141262,-29.5616487928596,7.39689206480352e-145,1.44967704636203e-142,320.322106466979
66,CFL2,-1.81912038097339,4.28893092714716,-29.5464953561033,9.59206725223696e-145,1.85141431403404e-142,320.047021216654
67,TNS1,-2.82669805024626,7.47390371007213,-29.3369028149078,3.48346596055593e-143,6.62326460768985e-141,316.469655828173
68,C10orf90,-4.44688734099242,-2.12328769668044,-29.2305335329839,2.15315902482725e-142,4.03369012018741e-140,314.336885754602
69,CACHD1,-2.49150309794495,3.89102811512844,-28.9979523987028,1.15100460564189e-140,2.12502140163362e-138,310.672276385069
70,EDNRB,-2.50215523158923,3.41840121626133,-28.8998037087983,6.15981747875262e-140,1.12099878374042e-137,309.006377747173
71,RBMS3,-2.42239285716734,3.88646658096522,-28.8570641011233,1.27837210390222e-139,2.29368763825498e-137,308.269744599533
72,ACACB,-3.33314080483025,4.93695618963917,-28.7970081756946,3.56512860806268e-139,6.30780185251534e-137,307.239996040212
73,PID1,-2.6981955252309,2.34475108001277,-28.7773793508865,4.98448305205919e-139,8.69826432879206e-137,306.934055537813
74,JAM2,-2.32811471863833,4.05828175151376,-28.7334103648908,1.0557909396806e-138,1.81752983521501e-136,306.160388874832
75,TF,-4.30458581134864,2.34077993375034,-28.5194961445716,4.05578127171382e-137,6.88887968271499e-135,302.534260185407
76,SPHKAP,-5.30282130841069,-3.31462606130611,-28.4455704426231,1.42932385346461e-136,2.39581007490601e-134,300.880327458645
77,GNAI1,-2.4290662178226,3.81757298827043,-28.4246953788473,2.03966145167965e-136,3.37444769259052e-134,300.909773513669
78,KCNMB1,-2.78146904669116,2.61906768023911,-28.3902140356908,3.66937710045603e-136,5.99284549778325e-134,300.344276467891
79,CNTNAP3B,-3.73677237850653,-1.24852771252243,-28.2850120383529,2.19948650668935e-135,3.54674159603996e-133,298.35208627955
80,CREB5,-2.37478499457166,2.70311310100288,-28.1628053268735,1.75807461135557e-134,2.79951405925733e-132,296.485723373229
81,CNN1,-3.53664167099438,4.15920838292198,-27.9790200231726,3.99132163064215e-133,6.2772155867593e-131,293.338440237705
82,SRPX,-2.8150695313521,3.99662267416907,-27.9452698370399,7.07856530656133e-133,1.09968101756445e-130,292.767563017061
83,FXYD1,-3.09288805356997,-5.13006261908285,-27.9312820936636,8.97539416561686e-133,1.37756079850353e-130,291.206115851506
84,SORBS1,-3.32445499841992,5.83357707047522,-27.9143131930446,1.19707751477115e-132,1.81542505484163e-130,292.24582927001
85,GPLD1,-2.57880001763813,0.944752174095482,-27.9030909079185,1.44819461509447e-132,2.17041778843394e-130,292.056374730061
86,NRG2,-3.4172946794641,-0.282948024793923,-27.8759591130476,2.29482939204238e-132,3.39928274711952e-130,291.540070344468
87,GYG2,-3.42487058330761,3.89078474184896,-27.8469282819944,3.75509743162855e-132,5.49841220477196e-130,291.10261844585
88,PLPP3,-1.99750962855503,5.73943814162836,-27.8250499264332,5.44211911022285e-132,7.87808583467373e-130,290.72221875367
89,CEP68,-1.24792391553842,5.31644632939493,-27.7070449107219,4.02227392686768e-131,5.75727500610869e-129,288.726391834967
90,CPED1,-2.76047905588888,3.4064840171518,-27.6586090282561,9.13698918688886e-131,1.29329005835308e-128,287.926952899879
91,SAA2,-4.14042341545992,0.565804906459986,-27.6079348821462,2.15503188819159e-130,3.01680782677722e-128,287.097647270008
92,PLSCR4,-2.25629933561187,4.44442284482388,-27.5308906084595,7.93843505707067e-130,1.09921439339156e-127,285.754275817892
93,CDC14B,-1.94690148040079,3.7521089288848,-27.5250309605668,8.76575310199406e-130,1.20071966415379e-127,285.673475571535
94,LIMS2,-2.21874071772977,4.32185281953332,-27.4360394719817,3.94828154389779e-129,5.35076155188446e-127,284.155426091596
95,NSG1,-3.37710123846473,0.466291622141043,-27.4328450578425,4.16736266209784e-129,5.58821399499625e-127,284.121643474498
96,JPH2,-3.05690095830381,2.35293530019444,-27.4130035305009,5.82804019173459e-129,7.73368791692781e-127,283.801941631136
97,CCDC69,-2.75870299528383,4.50602258617112,-27.3402780076353,1.9916382642685e-128,2.61561647922849e-126,282.536489253952
98,SLC35G2,-1.91854493468832,1.70572580987451,-27.1824604072127,2.85891767195479e-127,3.71630124724817e-125,279.916880459768
99,GNG11,-2.1821501856444,4.77095031532978,-27.0470574664905,2.80285839286382e-126,3.60662758249417e-124,277.596806127674
100,NMT2,-1.85830259348369,4.04793369117244,-27.0349393169286,3.43771914339713e-126,4.3793104167736e-124,277.409145461932
101,CCDC3,-2.58923288348027,4.13204432139897,-26.9384964041749,1.74423356254485e-125,2.19997934190682e-123,275.77853223479
102,PLPP1,-1.84071232707468,4.64205503676436,-26.848645975132,7.90984549777908e-125,9.87877664668702e-123,274.266314559381
103,NRN1,-2.43870083353516,3.64773209291923,-26.7999054717732,1.79515277388877e-124,2.22023797927855e-122,273.463691172823
104,RASSF9,-2.5596430713231,1.50816371848735,-26.7914617321705,2.06893302951557e-124,2.53424402528835e-122,273.360153730467
105,TMEM37,-2.52752600692325,3.36458306658319,-26.7262446064489,6.19029355782656e-124,7.51029996506215e-122,272.234590013488
106,CNTNAP3,-3.60043040422362,-0.520459447721228,-26.7224696719891,6.59557037213293e-124,7.92650669533975e-122,272.132169298354
107,LIFR,-2.90823257940314,5.15037920966652,-26.6573504440408,1.96876095373828e-123,2.34392951305346e-121,271.056366983654
108,ENPP2,-3.06696590175713,4.8619923263916,-26.5971063653816,5.4114527503208e-123,6.38300894317932e-121,270.047702190857
109,PROS1,-2.27832332024817,4.48485136697427,-26.5118173390883,2.26230071739808e-122,2.64398613201231e-120,268.620499345903
110,SPTBN1,-1.87027476156757,8.3996945301742,-26.5044862433281,2.55814483537257e-122,2.96256427798283e-120,268.520952280737
