n_pc,resolution,ela_net_alpha,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
100,0.7,0.5,0.598587724063009,0.413022735498306,0.586977264501695,0.401412275936991,0.0807030391797876,0.598587724063009,0.142230252968508,0.587640379723274
30,2.6,0.5,0.776751765344921,0.232849669331754,0.767150330668246,0.223248234655079,0.168096861408252,0.776751765344921,0.276381909547739,0.767698703232612
90,0.4,0.9,0.598587724063009,0.209554831704669,0.790445168295331,0.401412275936991,0.147503680899478,0.598587724063009,0.236683848797251,0.779487497673264
40,2.8,0.4,0.595328625746877,0.277596815056099,0.722403184943902,0.404671374253123,0.114969054862058,0.595328625746877,0.192720239141903,0.715145498541912
100,0.4,1,0.598587724063009,0.128977067087816,0.871022932912184,0.401412275936991,0.219434488251693,0.598587724063009,0.321142357569576,0.855463175528945
70,3.2,0.7,0.520369364475828,0.310466225775672,0.689533774224328,0.479630635524172,0.0921685587839138,0.520369364475828,0.156599918267266,0.679872184649749
20,1.8,1,0.0776751765344921,0.235054124304939,0.764945875695061,0.922324823465508,0.0196239879236997,0.0776751765344921,0.0313321647677476,0.72569336725197
40,0.1,0.2,0.614340032590983,0.114335537788307,0.885664462211694,0.385659967409017,0.245549283543205,0.614340032590983,0.350860865518846,0.870168145436496
90,2.8,0.2,0.523628462791961,0.258217352679893,0.741782647320107,0.476371537208039,0.109396277802996,0.523628462791961,0.180981883037642,0.72932307501396
90,0.9,0.1,0.524714828897339,0.297535616753858,0.702464383246142,0.475285171102662,0.0965131381756419,0.524714828897339,0.163037974683544,0.692312465098964
40,2.2,0.2,0.595328625746877,0.317441516138585,0.682558483861416,0.404671374253123,0.102010424422934,0.595328625746877,0.174175605880016,0.677576472048148
80,1.7,0.9,0.521455730581206,0.227947224689896,0.772052775310104,0.478544269418794,0.121703853955375,0.521455730581206,0.197348134443417,0.757740274244586
60,0.3,0.5,0.52417164584465,0.410258941203567,0.589741058796433,0.47582835415535,0.071832663391395,0.52417164584465,0.126350245499182,0.585996153130235
90,1.8,0.7,0.598587724063009,0.254236172802948,0.745763827197052,0.401412275936991,0.124815947445917,0.598587724063009,0.206560449859419,0.737358069119563
50,0.5,0.2,0.596958174904943,0.381436514987004,0.618563485012996,0.403041825095057,0.0865899779388591,0.596958174904943,0.151242000963325,0.61732952782776
30,1,0.5,0.595328625746877,0.303392228473662,0.696607771526338,0.404671374253123,0.106232431908501,0.595328625746877,0.180292811317651,0.69082335422225
10,0.7,0.1,0.981531776208582,0.385713815681242,0.614286184318758,0.0184682237914177,0.133555062823356,0.981531776208582,0.235118079500358,0.635260904634858
10,3.1,0.7,0.982074959261271,0.285855295627283,0.714144704372717,0.017925040738729,0.172256097560976,0.982074959261271,0.293102050741671,0.72944716758702
50,1,1,0.536664856056491,0.209686440956799,0.790313559043201,0.463335143943509,0.134220893900285,0.536664856056491,0.214735926972397,0.775826766768009
100,2,1,0.595328625746877,0.232257427697167,0.767742572302833,0.404671374253123,0.134396076026977,0.595328625746877,0.219287715086034,0.757895389960911
100,1.2,0.5,0.598587724063009,0.447603066495575,0.552396933504425,0.401412275936991,0.0749354005167959,0.598587724063009,0.133196349791503,0.555035056151889
30,3.4,0.3,0.77729494839761,0.322442667719541,0.677557332280459,0.22270505160239,0.127415190098834,0.77729494839761,0.218941248470012,0.68325370726562
30,0.4,0.8,0.596958174904943,0.385220280985753,0.614779719014247,0.403041825095057,0.0858124463184196,0.596958174904943,0.1500546149645,0.613761866352299
30,3.5,0.6,0.594242259641499,0.259599249827263,0.740400750172737,0.405757740358501,0.121772039180766,0.594242259641499,0.202124711316397,0.73205311162127
10,0.6,0.2,0.981531776208582,0.214062448590136,0.785937551409864,0.0184682237914177,0.217370383736317,0.981531776208582,0.355918849714398,0.797108643047714
100,2.3,0.1,0.523628462791961,0.486723916691343,0.513276083308657,0.476371537208039,0.0611791584692518,0.523628462791961,0.109557904307308,0.513867345039399
80,0.4,0.5,0.523628462791961,0.348863225084723,0.651136774915277,0.476371537208039,0.0833405377366647,0.523628462791961,0.143794749403341,0.643854315319228
90,3,0.1,0.523628462791961,0.317803441581943,0.682196558418057,0.476371537208039,0.090746493457592,0.523628462791961,0.154685494223363,0.673140162561271
80,3.1,0.6,0.51982618142314,0.270654427006219,0.729345572993782,0.48017381857686,0.10421430904933,0.51982618142314,0.173621190130624,0.717379164856983
40,3.5,1,0.537751222161869,0.200572500246767,0.799427499753233,0.462248777838132,0.139712108382727,0.537751222161869,0.221799036630447,0.784482223738909
20,4,0.6,0.978815860945138,0.259072812818741,0.740927187181259,0.0211841390548615,0.186233980983878,0.978815860945138,0.312928714074846,0.75451386734504
30,2.9,0.8,0.594242259641499,0.2353173428092,0.764682657190801,0.405757740358501,0.132670385641523,0.594242259641499,0.216912858134232,0.754948191350748
60,2.5,0.7,0.51982618142314,0.293817655381173,0.706182344618827,0.48017381857686,0.0967937695964398,0.51982618142314,0.163199181446112,0.695538871998511
