"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
3376,ADAT3,0.919192061438872,0.0987770110329287,7.25395260774521,7.22875564398279e-13,1.90935188643674e-12,18.4163529917259
3377,DEGS2,2.05679354643079,5.22195447697892,7.25008817817077,7.42914661407954e-13,1.96097033259587e-12,17.9807980426832
3378,PLAU,0.925537736551959,5.82706696625342,7.2470945055503,7.5881279434322e-13,2.00159679433945e-12,17.7452633998811
3379,CCDC124,0.677825635493987,5.48561057831023,7.23902320696033,8.03360933063257e-13,2.11722057292405e-12,17.7008963073833
3380,IL16,-0.70503671813662,4.02868738404484,-7.23848735005601,8.06407837470007e-13,2.12466070419959e-12,17.7333755424712
3381,RAD51B,-0.600880799026487,3.01042236740057,-7.23846368684679,8.06542648956854e-13,2.12466070419959e-12,17.8901134673994
3382,FAM71E1,0.864879547328649,1.42148905023948,7.23765633488895,8.11155500245194e-13,2.13633730215721e-12,18.2210200672995
3383,DCAF10,0.674480995061001,6.70593651214154,7.23286608460687,8.39062964887523e-13,2.20738389674784e-12,17.5728885564878
3384,PPP1R14C,-1.64993722217235,0.990715903822931,-7.23207557587393,8.43758206482123e-13,2.21924328270958e-12,18.0223297274011
3385,MIAT,1.24810187171759,2.07012012478364,7.2292981152315,8.60460623693927e-13,2.26216949859094e-12,18.1352019616924
3386,RABAC1,0.748227857747293,3.05185517241392,7.22606670026245,8.80302114835573e-13,2.31381982224639e-12,17.962606656737
3387,KCNN3,-0.611176494366724,2.51206296873135,-7.22443931763228,8.90464091339575e-13,2.34001087120928e-12,17.8651587447383
3388,APH1B,-0.604988746255702,4.7249137980561,-7.21808307419583,9.31270979880468e-13,2.4450764105038e-12,17.5294525561797
3389,NPNT,1.28289826232282,6.84374193870266,7.21280497009169,9.66548210102741e-13,2.53545046303019e-12,17.4544858538404
3390,ZYG11A,1.28020507240252,2.01796400751475,7.21246027761951,9.68897166466154e-13,2.54104969576305e-12,18.0262796930706
3391,OAS1,1.01132450552446,5.55447221734287,7.21088420686678,9.79709185521562e-13,2.56883694163421e-12,17.5300482102315
3392,DUSP23,0.635674342210833,5.21125563237118,7.20811535183111,9.98991653998576e-13,2.61707983821117e-12,17.513709623786
3393,NFIA,-0.817798201405483,6.48880265274091,-7.20797726926079,9.999629700107e-13,2.61904536508771e-12,17.3881206379628
3394,DNPH1,0.814879989411053,4.40362070511957,7.20682752601623,1.00808673809817e-12,2.63973917341994e-12,17.6332477447043
3395,RPL39L,1.00926427468061,3.72450026309181,7.19745598556516,1.07676737418457e-12,2.81833810839693e-12,17.7002674027914
3396,VDR,0.597066611412566,5.65380860924195,7.19566257579803,1.09042511978668e-12,2.85156637482949e-12,17.3822189645494
3397,CLEC11A,1.05147998257468,3.7118628159936,7.19311005157398,1.11015788861052e-12,2.9006087810686e-12,17.6789542394569
3398,TMEM63C,1.7195676395494,4.24581157402016,7.19177761647574,1.12059747790289e-12,2.92594965087512e-12,17.681431692584
3399,DDX11,0.634057725188275,4.52769000849594,7.1893918189335,1.13953164450996e-12,2.97407719290716e-12,17.473852616419
3400,MVP,0.5995854199349,7.42115438436252,7.18796898228347,1.1509728186519e-12,3.00261491153818e-12,17.2488780994803
3401,SPON1,-1.07403549111165,5.38266646185702,-7.18480943146887,1.17678418857053e-12,3.06724941715182e-12,17.2387741359747
3402,TBC1D30,0.868418600748717,2.37025460703971,7.1812015240815,1.20695424882865e-12,3.1438120233833e-12,17.747297279487
3403,LYPD3,1.07530070845901,5.26810810099242,7.17137457032968,1.2930362508229e-12,3.3643360860783e-12,17.3066630958407
3404,UFSP1,0.698276353983097,0.668594771951019,7.16996644125738,1.30585523959284e-12,3.39619814177689e-12,17.796123104988
3405,CHPT1,-0.739762417031035,6.06468465617863,-7.15915198588455,1.40855578561369e-12,3.65687500081872e-12,17.0524167594581
3406,LRRK1,-0.588579844957594,4.54766197464555,-7.15347118473367,1.46564148767003e-12,3.80008446113834e-12,17.1023973221557
3407,NME2,0.744738935046423,-0.30482368727087,7.13961205996689,1.61461830294209e-12,4.17538460749908e-12,17.6440903380891
3408,ABCB9,0.742041546674132,3.49986945187183,7.1386770826498,1.62518784054743e-12,4.2008836654988e-12,17.295257489716
3409,LRIG1,-0.68431653336318,7.09368643715454,-7.13753049390426,1.63824236959487e-12,4.23370421752009e-12,16.9102375457297
