"",probs,TPR,FPR,TNR,FNR,F1,Accuracy
process_0.18,0.18,0.176927343316694,0.167670781893004,0.832329218106996,0.823072656683306,0.0884268884268884,0.795605693330847
process_0.19,0.19,0.188574597892402,0.176065843621399,0.823934156378601,0.811425402107598,0.0907755973835269,0.788333644104668
process_0.2,0.2,0.210759844703272,0.184263374485597,0.815736625514403,0.789240155296728,0.0976863753213368,0.781838523214619
process_0.21,0.21,0.226844148641154,0.191868312757202,0.808131687242798,0.773155851358846,0.101741293532338,0.775560942258686
process_0.22,0.22,0.24126455906822,0.200362139917695,0.799637860082305,0.75873544093178,0.104517059106199,0.768351047299397
process_0.23,0.23,0.257903494176373,0.208230452674897,0.791769547325103,0.742096505823627,0.108227627138368,0.761855926409348
process_0.24,0.24,0.275097060454798,0.2159670781893,0.7840329218107,0.724902939545203,0.111976521052037,0.755516191186525
process_0.26,0.26,0.317249029395452,0.231736625514403,0.768263374485597,0.682750970604548,0.121521138729552,0.742992106408105
process_0.27,0.27,0.338325013865779,0.238518518518519,0.761481481481482,0.661674986134221,0.126320149099192,0.737771147989309
process_0.28,0.28,0.354409317803661,0.246189300411523,0.753810699588477,0.645590682196339,0.12883064516129,0.731431412766486
process_0.29,0.29,0.373821408763173,0.253893004115226,0.746106995884774,0.626178591236828,0.132299538718226,0.725247063210889
process_0.3,0.3,0.392124237382141,0.261234567901235,0.738765432098766,0.607875762617859,0.135375777884155,0.719342407856299
process_0.31,0.31,0.407099278979479,0.269037037037037,0.730962962962963,0.592900721020521,0.137080959940237,0.712816209832805
process_0.32,0.32,0.419855795895729,0.27683950617284,0.723160493827161,0.580144204104271,0.1380253441517,0.70616570327553
process_0.33,0.33,0.4420410427066,0.284246913580247,0.715753086419753,0.5579589572934,0.141890688979883,0.700416433588166
process_0.34,0.34,0.459789240155297,0.291522633744856,0.708477366255144,0.540210759844703,0.144337076695395,0.694542855367021
process_0.35,0.35,0.471436494731004,0.298864197530864,0.701135802469136,0.528563505268996,0.14491518199642,0.688265274411088
process_0.36,0.36,0.483638380476983,0.305810699588477,0.694189300411523,0.516361619523017,0.145770645269141,0.682391696189943
process_0.37,0.37,0.493621741541875,0.31361316872428,0.68638683127572,0.506378258458125,0.145674768802684,0.675585803965442
process_0.38,0.38,0.50471436494731,0.320724279835391,0.679275720164609,0.49528563505269,0.146126053793657,0.669494685810181
process_0.39,0.39,0.513588463671658,0.3279670781893,0.6720329218107,0.486411536328342,0.145930186746513,0.663154950587358
process_0.4,0.4,0.525790349417637,0.3359670781893,0.6640329218107,0.474209650582363,0.146341463414634,0.656286904095966
process_0.41,0.41,0.536882972823073,0.343111111111111,0.656888888888889,0.463117027176927,0.14674448571212,0.65016470880726
process_0.42,0.42,0.543538546866334,0.35038683127572,0.64961316872428,0.456461453133666,0.145985401459854,0.643669587917211
process_0.43,0.43,0.552412645590682,0.357662551440329,0.642337448559671,0.447587354409318,0.145795213349923,0.637298775560942
process_0.44,0.44,0.560732113144759,0.365135802469136,0.634864197530864,0.439267886855241,0.145415318230852,0.630710423270558
process_0.45,0.45,0.566833056017748,0.37283950617284,0.627160493827161,0.433166943982252,0.144452296819788,0.623780222512276
process_0.46,0.46,0.575707154742097,0.379917695473251,0.620082304526749,0.424292845257903,0.144357137890272,0.617595872956679
process_0.47,0.47,0.584581253466445,0.387127572016461,0.612872427983539,0.415418746533555,0.144225506294472,0.611287214867301
process_0.48,0.48,0.594564614531337,0.394831275720165,0.605168724279835,0.405435385468663,0.144202313693839,0.604574554043135
process_0.49,0.49,0.60177481974487,0.401744855967078,0.598255144032922,0.39822518025513,0.143794314492081,0.598452358754429
process_0.5,0.5,0.612867443150305,0.408164609053498,0.591835390946502,0.387132556849695,0.144387821769241,0.593013860401517
