full_group,type,cluster,mean_score,rest_mean_score,diff,group.x,method.x,type_sub.x,estimate,statistic,p.value,conf.low,conf.high,method.y,alternative,null.value,screen_method,bulk,type_pheno,group.y,ssGSEA type,type_sub.y,neg_log10_p,label,tumor_type
pos | scissor | Positive vs Rest,pos_marker_score,scissor_Positive,0.385794534056512,0.369578183336816,1.04387799781168,Positive vs Rest,scissor,pos,0.00719928310357526,26344969,1.38550569998704e-07,0.00452003622444123,0.00987531654260844,Wilcoxon rank sum test with continuity correction,two.sided,0,scissor,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,6.85839168318538,***,HER2
pos | scPAS | Positive vs Rest,pos_marker_score,scPAS_Positive,0.47342040367984,0.367146011395731,1.28946083842801,Positive vs Rest,scPAS,pos,0.046620752602441,21348765,8.29914481386859e-109,0.0425961871679478,0.0506562030186197,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,108.080966657233,***,HER2
pos | scPP | Positive vs Rest,pos_marker_score,scPP_Positive,0.37501584325207,0.370178822534723,1.01306671376884,Positive vs Rest,scPP,pos,0.00052733664475823,22333217,0.699716317649779,-0.00222025585845052,0.00331796995774128,Wilcoxon rank sum test with continuity correction,two.sided,0,scPP,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,0.155077998057812,NS,HER2
neg | DEGAS | Positive vs Rest,neg_marker_score,DEGAS_Positive,0.23404203667979,0.198517342284686,1.17895008056354,Positive vs Rest,DEGAS,neg,0.0229696711932999,27686916,3.07941032753935e-23,0.0183351751096528,0.0276072695291035,Wilcoxon rank sum test with continuity correction,two.sided,0,DEGAS,TCGA_BRCA,survival,Positive vs Rest,neg_ssGSEA,neg,22.5115324380494,***,HER2
neg | LP_SGL | Positive vs Rest,neg_marker_score,LP_SGL_Positive,0.153309097294638,0.209161086970478,0.732971412202867,Positive vs Rest,LP_SGL,neg,-0.0424715922478694,45005378,1.94693962850184e-308,-0.0446659734808808,-0.0402370377134736,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,TCGA_BRCA,survival,Positive vs Rest,neg_ssGSEA,neg,299.999999995168,***,HER2
neg | scAB | Positive vs Rest,neg_marker_score,scAB_Positive,0.177625612128592,0.205476796986571,0.86445581561309,Positive vs Rest,scAB,neg,-0.0170345417596299,66993366,1.83485141649604e-54,-0.0192128437568311,-0.0149042583408368,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,TCGA_BRCA,survival,Positive vs Rest,neg_ssGSEA,neg,53.736399098501,***,HER2
neg | scissor | Positive vs Rest,neg_marker_score,scissor_Positive,0.175346093588571,0.200425431273743,0.874869483748707,Positive vs Rest,scissor,neg,-0.0150391123410496,2334299,0.00829182378140339,-0.026281757154365,-0.00389496303042054,Wilcoxon rank sum test with continuity correction,two.sided,0,scissor,TCGA_BRCA,survival,Positive vs Rest,neg_ssGSEA,neg,2.08134993614611,**,HER2
neg | scPAS | Positive vs Rest,neg_marker_score,scPAS_Positive,0.20711416997983,0.200277506056766,1.03413595494407,Positive vs Rest,scPAS,neg,-0.00594633603932785,1170554,0.506621711649704,-0.023693858234294,0.0118717416966096,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,TCGA_BRCA,survival,Positive vs Rest,neg_ssGSEA,neg,0.295316202134085,NS,HER2
neg | scPP | Positive vs Rest,neg_marker_score,scPP_Positive,0.17570897558875,0.203267609084993,0.864421913455382,Positive vs Rest,scPP,neg,-0.019058200208291,41574811,9.88276772229011e-47,-0.0216840116607994,-0.0164376661723199,Wilcoxon rank sum test with continuity correction,two.sided,0,scPP,TCGA_BRCA,survival,Positive vs Rest,neg_ssGSEA,neg,46.0051214118711,***,HER2
pos | DEGAS | Positive vs Rest,pos_marker_score,DEGAS_Positive,0.23139473870811,0.188156795290758,1.22979740567188,Positive vs Rest,DEGAS,pos,0.0273953348955612,28193630,7.82077490293961e-30,0.0223605140712315,0.0325862526266572,Wilcoxon rank sum test with continuity correction,two.sided,0,DEGAS,TCGA_BRCA,survival,Positive vs Rest,pos_ssGSEA,pos,29.1067502137691,***,HER2
pos | LP_SGL | Positive vs Rest,pos_marker_score,LP_SGL_Positive,0.162648468367598,0.195541302826133,0.831785745603924,Positive vs Rest,LP_SGL,pos,-0.0210294195894714,56680990,4.66628555372169e-77,-0.0232973052735132,-0.018745117375405,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,TCGA_BRCA,survival,Positive vs Rest,pos_ssGSEA,pos,76.3310286880431,***,HER2
pos | scAB | Positive vs Rest,pos_marker_score,scAB_Positive,0.195936178618795,0.189035009672959,1.03650735891608,Positive vs Rest,scAB,pos,0.00421921541896112,79255088,0.000272402624867613,0.00195306141792202,0.00652582466294613,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,TCGA_BRCA,survival,Positive vs Rest,pos_ssGSEA,pos,3.56478871188397,***,HER2
pos | scissor | Positive vs Rest,pos_marker_score,scissor_Positive,0.25204410889066,0.189994111185289,1.32658905751483,Positive vs Rest,scissor,pos,0.0570621721173512,3495382,8.62174533846214e-13,0.0415901552262572,0.0724049518733428,Wilcoxon rank sum test with continuity correction,two.sided,0,scissor,TCGA_BRCA,survival,Positive vs Rest,pos_ssGSEA,pos,12.0644048091015,***,HER2
pos | scPAS | Positive vs Rest,pos_marker_score,scPAS_Positive,0.255316969513724,0.190161825905386,1.34262998526715,Positive vs Rest,scPAS,pos,0.0368110692136203,1480578,0.00147037690159429,0.0135714083240934,0.0655667011999761,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,TCGA_BRCA,survival,Positive vs Rest,pos_ssGSEA,pos,2.8325713283117,**,HER2
pos | scPP | Positive vs Rest,pos_marker_score,scPP_Positive,0.266353567571415,0.181122805980242,1.47056891113133,Positive vs Rest,scPP,pos,0.0707899923218195,66820614,3.63011645961776e-271,0.0665909599954883,0.0749739928739677,Wilcoxon rank sum test with continuity correction,two.sided,0,scPP,TCGA_BRCA,survival,Positive vs Rest,pos_ssGSEA,pos,270.440079441918,***,HER2
neg | DEGAS | Positive vs Rest,neg_marker_score,DEGAS_Positive,0.232394697335584,0.275965206581874,0.842115932707758,Positive vs Rest,DEGAS,neg,-0.0311137746028531,58120894,2.7354318653749e-57,-0.0352821102962109,-0.0270142315835481,Wilcoxon rank sum test with continuity correction,two.sided,0,DEGAS,GSE162228,survival,Positive vs Rest,neg_ssGSEA,neg,56.5629740982363,***,TNBC
