gene,beta,se,pval,HR,HR_low,HR_up,FDR,sig,direction,abs_logHR
TRAPPC11,-0.626989868353675,0.201845711198962,0.00192918650919468,0.534197387743067,0.359655927212161,0.793444032143474,0.0292958175641927,TRUE,protective,0.626989868353675
IL6ST,-0.293008351901319,0.0949354183499464,0.00193450015941522,0.74601591001994,0.619351837065873,0.898584140218973,0.0293373397509183,TRUE,protective,0.293008351901319
TNFRSF18,0.669399823011989,0.221447196787991,0.00193940619483437,1.95306478426685,1.26536841547477,3.01450708338736,0.0293725779760934,TRUE,risk,0.669399823011989
TMEM263,-0.447226096914988,0.139308908363927,0.00194358802160107,0.639399325715592,0.486620092773293,0.840145123058082,0.0293967688267161,TRUE,protective,0.447226096914988
GLOD4,-0.615858339126195,0.197615221106918,0.00195152378856465,0.540177041176206,0.366709912551692,0.795700431939507,0.0294775983680402,TRUE,protective,0.615858339126195
MTSS1,1.25289488897748,0.41305537512715,0.00195594457746355,3.50046175214399,1.55784951425189,7.86547889646918,0.0295051904828521,TRUE,risk,1.25289488897748
CDCA7,0.318273386435015,0.105246385912423,0.00195900668305756,1.37475204841921,1.11850220132047,1.68970896293418,0.0295122410769493,TRUE,risk,0.318273386435015
EIF1B,-0.4000529451056,0.129664725602492,0.00197273147143575,0.670284556809515,0.519859962122233,0.864235409211395,0.0296796927990876,TRUE,protective,0.4000529451056
PPP1R14C,0.2580026677799,0.086494903718777,0.00197751910987222,1.29434227163993,1.09250437929884,1.53346929119792,0.0296823282858026,TRUE,risk,0.2580026677799
HNRNPA1,-0.927388053152743,0.302458269760813,0.0019781259750869,0.395585610739278,0.218666779678489,0.715645859211243,0.0296823282858026,TRUE,protective,0.927388053152743
HAX1,0.682409609868578,0.220889403777042,0.00198714405683939,1.97863974248274,1.2833404158565,3.05064438255011,0.029761929453358,TRUE,risk,0.682409609868578
COL4A5,-0.3357131718352,0.110135788876621,0.00198866418010832,0.714828109248996,0.576039342289181,0.887056123183987,0.029761929453358,TRUE,protective,0.3357131718352
