n_pc,resolution,ela_net_alpha,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
80,1.7,0.9,0.28487980229162,0.095749218083594,0.904250781916406,0.71512019770838,0.790154229630784,0.28487980229162,0.418775543904554,0.558264307228916
60,0.3,0.5,0.222365760503258,0.0937588854137049,0.906241114586295,0.777634239496742,0.750094732853354,0.222365760503258,0.343037865003033,0.524221887550201
90,1.8,0.7,0.316052572455628,0.00639749786750071,0.993602502132499,0.683947427544372,0.984257477698093,0.316052572455628,0.478466051613452,0.61511671686747
50,0.5,0.2,0.221298584587733,0.0930480523173159,0.906951947682684,0.778701415412267,0.750619165555344,0.221298584587733,0.341821021125233,0.523939508032129
30,1,0.5,0.595933498090317,0.0208274097241968,0.979172590275803,0.404066501909683,0.973126662386499,0.595933498090317,0.739192531438325,0.765091616465863
10,0.7,0.1,0.225960458323972,0.258672163775945,0.741327836224055,0.774039541676028,0.525058731401723,0.225960458323972,0.315950679337155,0.45343875502008
10,3.1,0.7,0.295326892833071,0.173230025589991,0.826769974410009,0.704673107166929,0.683300844704354,0.295326892833071,0.412408329738421,0.529900853413655
50,1,1,0.221523253201528,0.100796133067956,0.899203866932044,0.778476746798472,0.735546437896307,0.221523253201528,0.340499007165674,0.520645080321285
100,2,1,0.277016400808807,0.00518908160363947,0.994810918396361,0.722983599191193,0.985414585414585,0.277016400808807,0.432460870708931,0.593844126506024
100,1.2,0.5,0.491687261289598,0.00966733011088996,0.99033266988911,0.508312738710402,0.984701912260967,0.491687261289598,0.655877725331535,0.711784638554217
30,3.4,0.3,0.540103347562346,0.0127949957350014,0.987205004264999,0.459896652437655,0.981625153123724,0.540103347562346,0.696811594202899,0.737449799196787
30,0.4,0.8,0.652437654459672,0.0238129087290304,0.97618709127097,0.347562345540328,0.971968872897665,0.652437654459672,0.780776340110906,0.795337600401606
30,3.5,0.6,0.561503033026286,0.0152118282627239,0.984788171737276,0.438496966973714,0.979042209382039,0.561503033026286,0.71368909512761,0.748337098393574
10,0.6,0.2,0.243091440125814,0.332598805800398,0.667401194199602,0.756908559874186,0.480515154879538,0.243091440125814,0.322852560516206,0.430377761044177
100,2.3,0.1,0.607447764547293,0.00973841342052886,0.990261586579471,0.392552235452707,0.987490869247626,0.607447764547293,0.752190847127556,0.776418172690763
80,0.4,0.5,0.233711525499888,0.0955359681546773,0.904464031845323,0.766288474500112,0.755858310626703,0.233711525499888,0.357029473593891,0.529775351405623
90,3,0.1,0.380363963154347,0.00753483082172306,0.992465169178277,0.619636036845653,0.984588543181157,0.380363963154347,0.548739972449558,0.650539658634538
80,3.1,0.6,0.297124241743428,0.0966022177992607,0.903397782200739,0.702875758256572,0.795608362159723,0.297124241743428,0.432666748456222,0.56472766064257
40,3.5,1,0.241574926982701,0.193346602217799,0.806653397782201,0.7584250730173,0.612590799031477,0.241574926982701,0.3465055387714,0.490995230923695
20,4,0.6,0.52437654459672,0.00902758032413989,0.99097241967586,0.47562345540328,0.986579308887245,0.52437654459672,0.684783804598966,0.730327560240964
30,2.9,0.8,0.50713322848798,0.0152118282627239,0.984788171737276,0.49286677151202,0.976847343935951,0.50713322848798,0.667652604725108,0.717965612449799
60,2.5,0.7,0.221298584587733,0.0907733864088712,0.909226613591129,0.778701415412267,0.755223308414798,0.221298584587733,0.342296164371661,0.524943524096386
60,2,0.4,0.247865648168951,0.0943986352004549,0.905601364799545,0.752134351831049,0.768681414387737,0.247865648168951,0.37485665746443,0.538183985943775
