hvg,bt_size,nfold,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
3000,40,16,0.247584812401708,0.00462041512652829,0.995379584873472,0.752415187598293,0.985468365750056,0.247584812401708,0.395744489832563,0.57765436746988
500,90,28,0.405751516513143,0.00554449815183395,0.994455501848166,0.594248483486857,0.989317995069844,0.405751516513143,0.575479964948618,0.665599899598394
2000,10,4,0.402044484385531,0.00533124822291726,0.994668751777083,0.597955515614469,0.989630858564911,0.402044484385531,0.57179374525702,0.663623242971888
4000,30,8,0.402269152999326,0.0176286607904464,0.982371339209554,0.597730847000674,0.966531713900135,0.402269152999326,0.568097088918855,0.65832078313253
5000,100,10,0.401651314311391,0.00554449815183395,0.994455501848166,0.598348685688609,0.989210125881865,0.401651314311391,0.571325849878161,0.663309487951807
1500,70,10,0.405751516513143,0.00554449815183395,0.994455501848166,0.594248483486857,0.989317995069844,0.405751516513143,0.575479964948618,0.665599899598394
4500,100,30,0.401651314311391,0.00554449815183395,0.994455501848166,0.598348685688609,0.989210125881865,0.401651314311391,0.571325849878161,0.663309487951807
2000,100,26,0.402493821613121,0.0575774808075064,0.942422519192494,0.597506178386879,0.898445336008024,0.402493821613121,0.555934833204034,0.640813253012048
5000,70,16,0.405751516513143,0.00554449815183395,0.994455501848166,0.594248483486857,0.989317995069844,0.405751516513143,0.575479964948618,0.665599899598394
3500,40,22,0.44287800494271,0.00625533124822292,0.993744668751777,0.557121995057291,0.988962749278816,0.44287800494271,0.611785700430616,0.686025351405623
1000,100,6,0.247865648168951,0.100014216661928,0.899985783338072,0.752134351831049,0.758247422680412,0.247865648168951,0.373603115475787,0.535705321285141
2000,40,14,0.446416535609975,0.00589991470002843,0.994100085299971,0.553583464390025,0.989665047939235,0.446416535609975,0.61528933617186,0.688158885542169
4500,90,24,0.447764547292743,0.00689508103497299,0.993104918965027,0.552235452707257,0.987978683851778,0.447764547292743,0.616240868859429,0.688472640562249
4500,20,16,0.445293192541002,0.00554449815183395,0.994455501848166,0.554706807458998,0.990257307019735,0.445293192541002,0.614335528864781,0.687688253012048
2000,80,30,0.447764547292743,0.00689508103497299,0.993104918965027,0.552235452707257,0.987978683851778,0.447764547292743,0.616240868859429,0.688472640562249
4000,100,10,0.445293192541002,0.00554449815183395,0.994455501848166,0.554706807458998,0.990257307019735,0.445293192541002,0.614335528864781,0.687688253012048
3000,10,8,0.402269152999326,0.135129371623543,0.864870628376457,0.597730847000674,0.790246055390047,0.402269152999326,0.533144750065136,0.606457078313253
4500,90,28,0.446416535609975,0.00589991470002843,0.994100085299971,0.553583464390025,0.989665047939235,0.446416535609975,0.61528933617186,0.688158885542169
2500,60,18,0.447764547292743,0.00689508103497299,0.993104918965027,0.552235452707257,0.987978683851778,0.447764547292743,0.616240868859429,0.688472640562249
1500,70,28,0.247865648168951,0.0943986352004549,0.905601364799545,0.752134351831049,0.768681414387737,0.247865648168951,0.37485665746443,0.538183985943775
500,10,16,0.384295663895754,0.00597099800966733,0.994029001990333,0.615704336104246,0.987871787467514,0.384295663895754,0.553336029114436,0.653426204819277
500,30,26,0.580936868119524,0.149274950241683,0.850725049758317,0.419063131880476,0.831230410672667,0.580936868119524,0.683902535788673,0.700018825301205
2500,20,16,0.25797573578971,0.0943986352004549,0.905601364799545,0.74202426421029,0.775713561898328,0.25797573578971,0.387186512118019,0.543831576305221
5000,50,8,0.445293192541002,0.00554449815183395,0.994455501848166,0.554706807458998,0.990257307019735,0.445293192541002,0.614335528864781,0.687688253012048
5000,100,10,0.247865648168951,0.0943986352004549,0.905601364799545,0.752134351831049,0.768681414387737,0.247865648168951,0.37485665746443,0.538183985943775
1500,60,22,0.445293192541002,0.00554449815183395,0.994455501848166,0.554706807458998,0.990257307019735,0.445293192541002,0.614335528864781,0.687688253012048
1500,70,10,0.446416535609975,0.00589991470002843,0.994100085299971,0.553583464390025,0.989665047939235,0.446416535609975,0.61528933617186,0.688158885542169
1500,90,18,0.446416535609975,0.00589991470002843,0.994100085299971,0.553583464390025,0.989665047939235,0.446416535609975,0.61528933617186,0.688158885542169
500,100,8,0.446416535609975,0.00589991470002843,0.994100085299971,0.553583464390025,0.989665047939235,0.446416535609975,0.61528933617186,0.688158885542169
5000,40,20,0.401651314311391,0.00554449815183395,0.994455501848166,0.598348685688609,0.989210125881865,0.401651314311391,0.571325849878161,0.663309487951807
4000,20,14,0.492080431363739,0.00582883139038954,0.99417116860961,0.507919568636262,0.990727128802443,0.492080431363739,0.657559950463467,0.713698544176707
4500,40,20,0.447764547292743,0.00689508103497299,0.993104918965027,0.552235452707257,0.987978683851778,0.447764547292743,0.616240868859429,0.688472640562249
4000,30,26,0.247865648168951,0.0943986352004549,0.905601364799545,0.752134351831049,0.768681414387737,0.247865648168951,0.37485665746443,0.538183985943775
2000,60,4,0.401201977083801,0.00533124822291726,0.994668751777083,0.598798022916199,0.989609310058188,0.401201977083801,0.570937574934058,0.663152610441767
1000,80,4,0.262300606605257,0.100014216661928,0.899985783338072,0.737699393394743,0.768471285173605,0.262300606605257,0.391105900087936,0.543768825301205
1500,70,28,0.401201977083801,0.00533124822291726,0.994668751777083,0.598798022916199,0.989609310058188,0.401201977083801,0.570937574934058,0.663152610441767
3000,40,2,0.492248932824085,0.00646858117713961,0.99353141882286,0.507751067175916,0.989723320158103,0.492248932824085,0.657489028095578,0.713510291164659
